EmployeeID,Skill,ProficiencyLevel,MonthsSinceLastUse,EvidenceType
E0009,Power BI,2,3,Self-assessment
E0009,Business Acumen,1,12,Manager validation
E0009,Data Quality,3,21,Certification
E0009,Communication,3,31,Project evidence
E0009,Data Storytelling,1,11,Manager validation
E0009,Project Management,3,4,Self-assessment
E0009,Data Modeling,2,26,Self-assessment
E0009,DAX,2,3,Project evidence
E0010,Excel,1,16,Certification
E0010,Data Quality,3,9,Self-assessment
E0010,Data Modeling,3,30,Self-assessment
E0010,NLP,1,38,Project evidence
E0010,Machine Learning,2,44,Self-assessment
E0010,Generative AI,2,37,Manager validation
E0010,Communication,3,32,Project evidence
E0010,Python,3,7,Manager validation
E0011,Change Management,3,10,Manager validation
E0011,Scenario Modeling,2,12,Manager validation
E0011,Power BI,1,26,Self-assessment
E0011,Business Acumen,4,27,Manager validation
E0011,Stakeholder Management,3,21,Self-assessment
E0011,Communication,2,43,Manager validation
E0011,Data Storytelling,4,45,Project evidence
E0011,Forecasting,2,13,Manager validation
E0011,Project Management,2,36,Manager validation
E0012,SQL,2,5,Self-assessment
E0012,Change Management,3,17,Self-assessment
E0012,Business Acumen,4,20,Manager validation
E0012,Data Quality,1,7,Self-assessment
E0012,Employee Engagement,3,12,Self-assessment
E0012,HRIS,4,36,Certification
E0012,Recruiting Analytics,4,16,Self-assessment
E0012,Stakeholder Management,5,6,Certification
E0012,Learning Analytics,1,43,Project evidence
E0012,Talent Analytics,5,44,Project evidence
E0012,Statistics,2,40,Self-assessment
E0012,Data Storytelling,4,29,Self-assessment
E0012,Project Management,3,40,Self-assessment
E0013,SQL,3,11,Certification
E0013,Excel,3,30,Self-assessment
E0013,NLP,2,32,Manager validation
E0013,Machine Learning,3,18,Manager validation
E0013,Data Governance,1,27,Manager validation
E0013,Generative AI,3,29,Project evidence
E0013,Communication,1,14,Certification
E0013,Project Management,1,3,Project evidence
E0014,Excel,1,48,Project evidence
E0014,Business Acumen,2,5,Project evidence
E0014,Stakeholder Management,2,31,Project evidence
E0014,Statistics,1,31,Manager validation
E0014,Forecasting,2,10,Manager validation
E0014,Power BI,2,47,Project evidence
E0014,Skills Gap Analysis,2,47,Manager validation
E0014,People Analytics,3,7,Manager validation
E0015,Excel,2,4,Self-assessment
E0015,Scenario Modeling,2,26,Self-assessment
E0015,Data Quality,2,37,Certification
E0015,Stakeholder Management,4,32,Project evidence
E0015,Data Visualization,1,24,Project evidence
E0015,Forecasting,2,17,Certification
E0016,SQL,4,5,Project evidence
E0016,Excel,1,23,Project evidence
E0016,Data Modeling,3,47,Certification
E0016,Stakeholder Management,2,24,Certification
E0016,Machine Learning,5,14,Certification
E0016,Generative AI,3,16,Project evidence
E0016,Project Management,1,41,Project evidence
E0016,Python,4,32,Project evidence
E0017,Excel,3,35,Project evidence
E0017,Power BI,2,30,Certification
E0017,Performance Analytics,3,7,Self-assessment
E0017,Data Quality,1,46,Project evidence
E0017,Employee Engagement,3,20,Certification
E0017,HRIS,2,40,Manager validation
E0017,Workforce Planning,2,16,Self-assessment
E0017,People Analytics,2,41,Project evidence
E0017,Statistics,2,4,Manager validation
E0017,Data Visualization,3,23,Manager validation
E0017,Project Management,2,6,Manager validation
E0018,Excel,2,12,Self-assessment
E0018,Business Acumen,2,8,Project evidence
E0018,Data Quality,3,22,Self-assessment
E0018,Stakeholder Management,2,23,Manager validation
E0018,Communication,2,19,Manager validation
E0018,Forecasting,1,9,Manager validation
E0018,Power BI,3,22,Manager validation
E0018,SQL,1,39,Manager validation
E0018,Python,2,45,Project evidence
E0019,Excel,2,24,Self-assessment
E0019,Business Acumen,2,4,Project evidence
E0019,Performance Analytics,1,18,Manager validation
E0019,Data Quality,2,24,Self-assessment
E0019,Stakeholder Management,3,7,Manager validation
E0019,Data Storytelling,4,44,Manager validation
E0020,SQL,1,47,Certification
E0020,HR Data Management,3,6,Project evidence
E0020,Excel,2,34,Project evidence
E0020,Business Acumen,1,41,Self-assessment
E0020,Employee Engagement,1,32,Self-assessment
E0020,Recruiting Analytics,4,48,Manager validation
E0020,Learning Analytics,4,27,Self-assessment
E0020,People Analytics,4,38,Manager validation
E0020,Data Visualization,2,27,Project evidence
E0020,Statistics,2,29,Manager validation
E0020,Project Management,2,19,Manager validation
E0021,Change Management,5,22,Self-assessment
E0021,Excel,2,16,Self-assessment
E0021,Scenario Modeling,3,40,Self-assessment
E0021,Power BI,2,9,Project evidence
E0021,Business Acumen,3,46,Manager validation
E0021,Stakeholder Management,2,23,Self-assessment
E0021,Communication,3,39,Project evidence
E0021,Data Storytelling,5,25,Manager validation
E0021,Forecasting,3,9,Self-assessment
E0021,Project Management,1,15,Self-assessment
E0022,Excel,2,15,Self-assessment
E0022,Business Acumen,2,20,Project evidence
E0022,Power BI,1,44,Self-assessment
E0022,Performance Analytics,2,3,Certification
E0022,Stakeholder Management,1,45,Self-assessment
E0022,Communication,2,46,Self-assessment
E0022,Project Management,2,41,Manager validation
E0023,HR Data Management,3,23,Self-assessment
E0023,Excel,1,20,Self-assessment
E0023,Business Acumen,2,13,Self-assessment
E0023,Performance Analytics,3,29,Self-assessment
E0023,Employee Engagement,5,30,Project evidence
E0023,HRIS,2,5,Self-assessment
E0023,Stakeholder Management,3,12,Project evidence
E0023,Data Storytelling,2,19,Certification
E0023,Data Visualization,3,14,Self-assessment
E0023,Talent Management,3,29,Manager validation
E0023,Power BI,2,27,Project evidence
E0023,Python,2,21,Self-assessment
E0023,Power Query,3,14,Manager validation
E0023,Talent Intelligence,3,3,Project evidence
E0023,Workforce Planning,3,35,Self-assessment
E0024,Excel,2,48,Project evidence
E0024,Scenario Modeling,3,36,Manager validation
E0024,Data Quality,1,25,Self-assessment
E0024,Stakeholder Management,1,31,Manager validation
E0024,Communication,3,37,Certification
E0024,Project Management,3,36,Certification
E0024,Data Modeling,2,43,Self-assessment
E0024,DAX,1,32,Manager validation
E0025,SQL,3,40,Certification
E0025,Data Quality,2,33,Project evidence
E0025,Data Modeling,2,28,Manager validation
E0025,Stakeholder Management,3,3,Certification
E0025,Machine Learning,2,35,Self-assessment
E0025,Data Governance,2,12,Self-assessment
E0025,Generative AI,3,7,Self-assessment
E0025,Project Management,1,10,Self-assessment
E0025,Power BI,1,35,Project evidence
E0026,Scenario Modeling,1,13,Manager validation
E0026,Business Acumen,3,6,Manager validation
E0026,Data Quality,2,9,Manager validation
E0026,Statistics,1,30,Self-assessment
E0026,Communication,1,32,Self-assessment
E0026,Forecasting,1,34,Self-assessment
E0026,Power BI,3,22,Project evidence
E0027,Excel,2,22,Manager validation
E0027,Business Acumen,1,3,Project evidence
E0027,Power BI,3,8,Manager validation
E0027,Employee Engagement,2,6,Manager validation
E0027,Stakeholder Management,3,10,Self-assessment
E0027,Data Storytelling,3,25,Self-assessment
E0027,Project Management,1,30,Manager validation
E0028,Excel,2,11,Manager validation
E0028,Scenario Modeling,2,24,Self-assessment
E0028,Business Acumen,3,39,Manager validation
E0028,Data Quality,2,30,Self-assessment
E0028,Forecasting,2,10,Project evidence
E0028,Project Management,1,14,Manager validation
E0029,SQL,2,26,Manager validation
E0029,Excel,2,8,Self-assessment
E0029,NLP,4,19,Self-assessment
E0029,Stakeholder Management,2,6,Project evidence
E0029,Data Governance,2,32,Project evidence
E0029,Generative AI,3,17,Self-assessment
E0029,Project Management,2,24,Project evidence
E0029,Python,3,30,Self-assessment
E0029,Power Query,1,15,Self-assessment
E0029,DAX,3,15,Self-assessment
E0030,Excel,2,17,Self-assessment
E0030,Business Acumen,2,48,Project evidence
E0030,Performance Analytics,2,26,Self-assessment
E0030,Project Management,2,20,Self-assessment
E0030,Communication,1,21,Manager validation
E0030,Power BI,3,22,Project evidence
E0030,SQL,1,15,Manager validation
E0030,Python,1,11,Project evidence
E0031,Excel,1,32,Manager validation
E0031,Scenario Modeling,1,25,Self-assessment
E0031,Data Quality,2,24,Manager validation
E0031,Data Visualization,3,14,Project evidence
E0031,Communication,2,13,Self-assessment
E0031,Forecasting,3,27,Self-assessment
E0031,Workforce Planning,3,27,Project evidence
E0031,People Analytics,1,28,Self-assessment
E0032,Excel,2,44,Project evidence
E0032,Business Acumen,2,16,Self-assessment
E0032,Data Quality,2,38,Certification
E0032,Stakeholder Management,1,38,Self-assessment
E0032,Communication,1,38,Project evidence
E0032,Data Storytelling,2,6,Manager validation
E0032,Project Management,3,38,Manager validation
E0033,Change Management,5,42,Project evidence
E0033,Excel,2,8,Certification
E0033,Business Acumen,3,13,Self-assessment
E0033,Data Quality,3,13,Certification
E0033,Stakeholder Management,4,20,Certification
E0033,Data Governance,1,42,Project evidence
E0033,Communication,1,22,Self-assessment
E0033,Data Storytelling,3,42,Self-assessment
E0033,Project Management,1,32,Self-assessment
E0034,Excel,3,5,Project evidence
E0034,Business Acumen,2,7,Self-assessment
E0034,Data Quality,1,4,Project evidence
E0034,Stakeholder Management,2,12,Manager validation
E0034,Communication,2,11,Self-assessment
E0034,Data Storytelling,2,3,Project evidence
E0035,SQL,1,36,Manager validation
E0035,HR Data Management,4,10,Self-assessment
E0035,Business Acumen,3,24,Self-assessment
E0035,Performance Analytics,3,40,Manager validation
E0035,Data Quality,3,11,Manager validation
E0035,Recruiting Analytics,3,15,Self-assessment
E0035,Stakeholder Management,2,40,Self-assessment
E0035,Talent Analytics,3,42,Self-assessment
E0035,Statistics,1,45,Self-assessment
E0035,Data Visualization,2,26,Manager validation
E0035,Talent Management,3,5,Self-assessment
E0035,DAX,1,21,Self-assessment
E0035,Power Query,3,28,Self-assessment
E0036,SQL,1,34,Self-assessment
E0036,Excel,3,31,Manager validation
E0036,Performance Analytics,2,40,Manager validation
E0036,Data Quality,2,48,Self-assessment
E0036,Employee Engagement,2,3,Certification
E0036,Stakeholder Management,2,15,Self-assessment
E0036,Data Storytelling,1,30,Manager validation
E0036,People Analytics,2,25,Project evidence
E0036,Talent Analytics,3,9,Self-assessment
E0036,Statistics,2,12,Project evidence
E0036,Talent Management,4,7,Certification
E0037,Excel,2,45,Manager validation
E0037,Business Acumen,2,3,Self-assessment
E0037,Data Quality,3,44,Certification
E0037,Stakeholder Management,2,3,Self-assessment
E0037,Communication,3,5,Self-assessment
E0037,Power BI,1,42,Self-assessment
E0037,Workforce Planning,3,8,Certification
E0037,Talent Intelligence,2,5,Self-assessment
E0038,Business Acumen,2,4,Certification
E0038,Data Quality,4,39,Certification
E0038,Data Modeling,4,43,Self-assessment
E0038,NLP,4,22,Project evidence
E0038,Data Governance,1,18,Self-assessment
E0038,Machine Learning,2,38,Self-assessment
E0038,Project Management,2,22,Project evidence
E0038,Python,5,32,Project evidence
E0038,SQL,4,36,Self-assessment
E0038,Statistics,3,28,Project evidence
E0039,Scenario Modeling,2,11,Manager validation
E0039,Data Quality,1,18,Manager validation
E0039,Stakeholder Management,2,16,Project evidence
E0039,Data Visualization,1,47,Manager validation
E0039,Communication,1,34,Manager validation
E0039,Statistics,2,25,Certification
E0039,Forecasting,2,41,Manager validation
E0040,Change Management,4,23,Manager validation
E0040,Excel,1,16,Self-assessment
E0040,Business Acumen,3,13,Manager validation
E0040,Data Modeling,3,43,Project evidence
E0040,NLP,3,22,Self-assessment
E0040,Stakeholder Management,2,44,Manager validation
E0040,Machine Learning,5,11,Self-assessment
E0040,Data Governance,1,32,Manager validation
E0040,Data Storytelling,4,17,Project evidence
E0040,Python,4,43,Certification
E0040,SQL,3,21,Self-assessment
E0041,SQL,3,15,Self-assessment
E0041,Excel,3,48,Manager validation
E0041,Data Modeling,5,26,Self-assessment
E0041,Machine Learning,5,20,Manager validation
E0041,Generative AI,5,44,Self-assessment
E0041,Communication,2,18,Self-assessment
E0041,Project Management,1,46,Self-assessment
E0041,Python,4,40,Self-assessment
E0041,Statistics,3,22,Project evidence
E0041,Power BI,2,25,Manager validation
E0041,People Analytics,1,48,Manager validation
E0041,Workforce Planning,3,38,Manager validation
E0042,Excel,2,34,Self-assessment
E0042,Scenario Modeling,2,45,Certification
E0042,Business Acumen,1,5,Self-assessment
E0042,Data Quality,1,39,Certification
E0042,Stakeholder Management,2,42,Self-assessment
E0042,Communication,3,37,Certification
E0042,Forecasting,2,6,Self-assessment
E0043,SQL,3,47,Self-assessment
E0043,Change Management,3,11,Manager validation
E0043,Excel,1,48,Project evidence
E0043,Business Acumen,4,47,Self-assessment
E0043,NLP,4,22,Self-assessment
E0043,Stakeholder Management,3,12,Manager validation
E0043,Machine Learning,3,9,Self-assessment
E0043,Generative AI,3,10,Manager validation
E0043,Communication,2,34,Certification
E0043,Data Storytelling,3,38,Manager validation
E0043,Python,4,48,Project evidence
E0043,DAX,4,44,Manager validation
E0043,Internal Mobility,2,43,Self-assessment
E0043,Skills Gap Analysis,4,6,Certification
E0044,Excel,1,3,Manager validation
E0044,Performance Analytics,2,43,Certification
E0044,Stakeholder Management,2,41,Self-assessment
E0044,Communication,1,24,Certification
E0044,Data Storytelling,1,6,Self-assessment
E0044,Project Management,2,46,Manager validation
E0045,Excel,1,27,Manager validation
E0045,Data Quality,3,47,Certification
E0045,Data Modeling,2,26,Manager validation
E0045,NLP,3,25,Manager validation
E0045,Data Governance,2,16,Manager validation
E0045,Generative AI,4,41,Project evidence
E0045,Communication,3,42,Project evidence
E0045,Python,3,41,Manager validation
E0046,Change Management,5,3,Certification
E0046,Business Acumen,4,39,Self-assessment
E0046,Data Quality,3,21,Manager validation
E0046,Data Modeling,5,10,Manager validation
E0046,NLP,2,7,Self-assessment
E0046,Stakeholder Management,2,38,Manager validation
E0046,Data Governance,1,6,Certification
E0046,Generative AI,2,15,Manager validation
E0046,Communication,1,47,Project evidence
E0046,Data Storytelling,3,16,Manager validation
E0046,Python,4,4,Project evidence
E0047,SQL,3,30,Project evidence
E0047,HR Data Management,3,37,Certification
E0047,Change Management,4,10,Manager validation
E0047,Business Acumen,4,6,Project evidence
E0047,Power BI,3,5,Manager validation
E0047,Performance Analytics,2,18,Self-assessment
E0047,Employee Engagement,3,4,Certification
E0047,Recruiting Analytics,3,14,Manager validation
E0047,Stakeholder Management,3,48,Project evidence
E0047,Data Storytelling,4,21,Self-assessment
E0047,Talent Management,2,26,Certification
E0047,Project Management,3,24,Certification
E0048,Excel,2,35,Project evidence
E0048,Data Quality,2,25,Project evidence
E0048,Stakeholder Management,3,20,Project evidence
E0048,Communication,3,48,Certification
E0048,Forecasting,3,26,Self-assessment
E0048,Project Management,1,24,Self-assessment
E0049,Excel,2,22,Project evidence
E0049,Business Acumen,2,33,Certification
E0049,Project Management,3,28,Self-assessment
E0049,Stakeholder Management,4,10,Manager validation
E0049,Data Storytelling,1,39,Certification
E0049,Power BI,3,15,Self-assessment
E0050,Excel,2,15,Certification
E0050,Power BI,1,37,Self-assessment
E0050,Performance Analytics,3,33,Self-assessment
E0050,Employee Engagement,2,16,Self-assessment
E0050,HRIS,1,20,Self-assessment
E0050,Workforce Planning,3,11,Self-assessment
E0050,Talent Analytics,3,18,Self-assessment
E0050,Data Visualization,3,39,Manager validation
E0050,Communication,3,13,Self-assessment
E0050,Data Storytelling,3,42,Manager validation
E0050,Project Management,2,41,Project evidence
E0051,HR Data Management,3,45,Manager validation
E0051,Change Management,5,38,Project evidence
E0051,Excel,2,45,Self-assessment
E0051,Power BI,4,18,Self-assessment
E0051,Business Acumen,3,3,Project evidence
E0051,HRIS,2,26,Project evidence
E0051,Recruiting Analytics,3,34,Project evidence
E0051,Stakeholder Management,4,9,Project evidence
E0051,Workforce Planning,3,37,Manager validation
E0051,People Analytics,5,42,Project evidence
E0051,Statistics,3,13,Certification
E0051,Communication,2,17,Project evidence
E0051,Data Storytelling,4,11,Manager validation
E0051,Project Management,3,14,Certification
E0051,Python,3,26,Manager validation
E0052,Excel,1,32,Project evidence
E0052,Business Acumen,3,10,Certification
E0052,Project Management,3,43,Manager validation
E0052,Data Quality,3,32,Self-assessment
E0052,Communication,2,19,Self-assessment
E0052,Power BI,1,33,Project evidence
E0053,Power BI,2,24,Manager validation
E0053,Excel,2,43,Self-assessment
E0053,Stakeholder Management,3,7,Self-assessment
E0053,Business Acumen,1,38,Manager validation
E0053,People Analytics,2,33,Self-assessment
E0053,Skills Gap Analysis,3,32,Project evidence
E0054,Change Management,4,27,Manager validation
E0054,Excel,2,5,Manager validation
E0054,Business Acumen,5,33,Manager validation
E0054,Data Quality,4,14,Project evidence
E0054,Stakeholder Management,2,9,Certification
E0054,Communication,2,21,Self-assessment
E0054,Data Storytelling,5,3,Project evidence
E0054,Power BI,3,24,Manager validation
E0055,SQL,4,17,Project evidence
E0055,Excel,2,39,Manager validation
E0055,Data Quality,1,13,Manager validation
E0055,NLP,2,26,Self-assessment
E0055,Data Governance,1,25,Self-assessment
E0055,Generative AI,2,17,Manager validation
E0055,Project Management,2,42,Project evidence
E0055,Python,3,36,Project evidence
E0055,DAX,1,34,Self-assessment
E0055,Data Modeling,3,25,Self-assessment
E0056,Change Management,3,27,Project evidence
E0056,Excel,2,6,Manager validation
E0056,Business Acumen,5,30,Manager validation
E0056,Power BI,2,26,Certification
E0056,Performance Analytics,2,46,Manager validation
E0056,Stakeholder Management,2,11,Manager validation
E0056,Data Storytelling,3,38,Self-assessment
E0056,Project Management,1,32,Project evidence
E0056,DAX,3,39,Project evidence
E0056,Power Query,2,37,Self-assessment
E0057,SQL,2,12,Self-assessment
E0057,Change Management,5,10,Self-assessment
E0057,Excel,2,7,Manager validation
E0057,Business Acumen,5,29,Manager validation
E0057,Employee Engagement,3,36,Certification
E0057,HRIS,3,8,Self-assessment
E0057,Stakeholder Management,4,16,Self-assessment
E0057,Recruiting Analytics,2,20,Manager validation
E0057,Talent Analytics,3,8,Manager validation
E0057,People Analytics,3,44,Self-assessment
E0057,Communication,3,13,Manager validation
E0057,Data Visualization,2,18,Self-assessment
E0057,Statistics,2,33,Manager validation
E0057,Data Storytelling,4,33,Self-assessment
E0057,Power BI,3,19,Project evidence
E0057,Python,2,33,Manager validation
E0058,Excel,2,8,Project evidence
E0058,Data Quality,2,32,Self-assessment
E0058,Stakeholder Management,2,24,Project evidence
E0058,Data Governance,1,7,Manager validation
E0058,Communication,2,39,Self-assessment
E0058,Project Management,2,26,Self-assessment
E0058,Power BI,2,4,Self-assessment
E0058,SQL,1,18,Self-assessment
E0058,Workforce Planning,2,38,Project evidence
E0058,Internal Mobility,3,3,Manager validation
E0059,Business Acumen,1,4,Project evidence
E0059,Data Quality,3,25,Certification
E0059,Stakeholder Management,3,43,Manager validation
E0059,Communication,2,46,Manager validation
E0059,Data Storytelling,4,15,Project evidence
E0059,Power BI,2,32,Manager validation
E0060,Change Management,5,25,Manager validation
E0060,Excel,3,31,Project evidence
E0060,Business Acumen,4,29,Project evidence
E0060,Data Quality,3,43,Manager validation
E0060,NLP,4,25,Certification
E0060,Stakeholder Management,3,27,Project evidence
E0060,Machine Learning,3,5,Project evidence
E0060,Data Governance,3,41,Project evidence
E0060,Generative AI,4,29,Project evidence
E0060,Data Storytelling,4,10,Certification
E0060,Project Management,1,10,Certification
E0060,Python,3,3,Certification
E0060,Skills Gap Analysis,1,4,Self-assessment
E0060,Internal Mobility,3,44,Manager validation
E0061,HR Data Management,3,46,Project evidence
E0061,Change Management,4,13,Certification
E0061,Excel,1,6,Certification
E0061,Business Acumen,4,25,Project evidence
E0061,Data Quality,2,30,Project evidence
E0061,Recruiting Analytics,3,28,Self-assessment
E0061,Stakeholder Management,4,41,Self-assessment
E0061,Data Storytelling,4,38,Manager validation
E0061,People Analytics,2,43,Project evidence
E0061,Talent Analytics,1,37,Self-assessment
E0061,Data Visualization,2,40,Certification
E0061,Talent Management,4,25,Manager validation
E0061,Power BI,2,31,Manager validation
E0062,Excel,2,4,Self-assessment
E0062,Scenario Modeling,2,37,Manager validation
E0062,Business Acumen,1,6,Manager validation
E0062,Data Quality,2,6,Self-assessment
E0062,Communication,2,39,Certification
E0062,Forecasting,2,28,Project evidence
E0063,Excel,1,12,Certification
E0063,Business Acumen,3,35,Self-assessment
E0063,NLP,3,17,Certification
E0063,Stakeholder Management,2,14,Manager validation
E0063,Machine Learning,1,7,Certification
E0063,Data Governance,2,37,Project evidence
E0063,Generative AI,3,26,Project evidence
E0063,Python,3,43,Manager validation
E0064,Excel,1,21,Manager validation
E0064,Scenario Modeling,1,33,Self-assessment
E0064,Business Acumen,2,42,Self-assessment
E0064,Data Quality,3,34,Self-assessment
E0064,Communication,2,6,Project evidence
E0064,Project Management,2,5,Certification
E0065,Business Acumen,3,13,Certification
E0065,Data Quality,3,20,Certification
E0065,Data Modeling,4,44,Manager validation
E0065,NLP,4,46,Self-assessment
E0065,Machine Learning,3,39,Manager validation
E0065,Data Governance,2,12,Certification
E0065,Project Management,1,24,Manager validation
E0065,Python,2,4,Self-assessment
E0066,Excel,2,18,Self-assessment
E0066,HRIS,3,15,Self-assessment
E0066,Stakeholder Management,2,31,Project evidence
E0066,Learning Analytics,2,27,Self-assessment
E0066,Workforce Planning,2,39,Manager validation
E0066,Talent Analytics,2,15,Manager validation
E0066,People Analytics,2,10,Certification
E0066,Communication,2,5,Certification
E0066,Data Visualization,1,17,Manager validation
E0066,Data Storytelling,2,37,Certification
E0066,Power BI,3,16,Self-assessment
E0067,Data Quality,3,14,Certification
E0067,NLP,1,26,Certification
E0067,Stakeholder Management,3,33,Project evidence
E0067,Machine Learning,4,31,Self-assessment
E0067,Data Governance,1,29,Self-assessment
E0067,Generative AI,4,39,Self-assessment
E0067,Communication,1,42,Self-assessment
E0067,Python,5,21,Project evidence
E0067,Statistics,2,10,Project evidence
E0067,Power Query,1,45,Manager validation
E0068,Excel,1,36,Self-assessment
E0068,Data Quality,2,12,Manager validation
E0068,Employee Engagement,3,14,Manager validation
E0068,Communication,1,44,Project evidence
E0068,Data Storytelling,3,5,Project evidence
E0068,Power BI,2,26,Self-assessment
E0068,Internal Mobility,2,23,Self-assessment
E0068,Workforce Planning,1,32,Manager validation
E0069,Excel,1,36,Certification
E0069,Scenario Modeling,2,9,Self-assessment
E0069,Power BI,1,47,Project evidence
E0069,Data Quality,2,17,Project evidence
E0069,Data Visualization,1,39,Self-assessment
E0069,Statistics,1,7,Manager validation
E0069,Project Management,3,39,Self-assessment
E0070,SQL,3,13,Certification
E0070,Business Acumen,5,38,Project evidence
E0070,Data Quality,2,29,Project evidence
E0070,Data Modeling,3,23,Self-assessment
E0070,NLP,4,15,Manager validation
E0070,Data Governance,3,5,Self-assessment
E0070,Generative AI,2,32,Certification
E0070,Project Management,2,8,Manager validation
E0071,SQL,2,23,Manager validation
E0071,Excel,2,34,Self-assessment
E0071,Business Acumen,2,47,Self-assessment
E0071,Performance Analytics,3,26,Project evidence
E0071,Data Quality,3,24,Self-assessment
E0071,Employee Engagement,4,40,Self-assessment
E0071,Recruiting Analytics,1,35,Self-assessment
E0071,Talent Analytics,2,24,Project evidence
E0071,Statistics,1,42,Manager validation
E0071,Talent Management,4,32,Certification
E0071,Power BI,2,9,Self-assessment
E0072,Business Acumen,2,6,Self-assessment
E0072,Data Quality,1,38,Self-assessment
E0072,Stakeholder Management,2,28,Self-assessment
E0072,Data Storytelling,2,32,Project evidence
E0072,Power BI,3,43,Manager validation
E0073,Excel,1,42,Manager validation
E0073,Business Acumen,2,3,Project evidence
E0073,Data Quality,3,5,Self-assessment
E0073,Communication,2,28,Certification
E0073,Project Management,3,36,Self-assessment
E0074,SQL,1,47,Certification
E0074,Change Management,4,42,Certification
E0074,Excel,2,5,Project evidence
E0074,Business Acumen,3,3,Project evidence
E0074,Performance Analytics,2,11,Self-assessment
E0074,Employee Engagement,3,18,Manager validation
E0074,Recruiting Analytics,2,39,Self-assessment
E0074,Stakeholder Management,4,6,Project evidence
E0074,Workforce Planning,3,26,Manager validation
E0074,Data Storytelling,3,48,Project evidence
E0074,Data Visualization,1,10,Manager validation
E0074,Communication,2,11,Certification
E0074,Talent Management,1,31,Project evidence
E0074,Power BI,4,18,Manager validation
E0075,SQL,4,14,Certification
E0075,Excel,3,21,Self-assessment
E0075,Business Acumen,1,13,Self-assessment
E0075,NLP,3,4,Manager validation
E0075,Data Governance,2,23,Project evidence
E0075,Generative AI,3,29,Self-assessment
E0075,Communication,2,36,Project evidence
E0075,Python,4,30,Manager validation
E0075,Power BI,1,23,Self-assessment
E0075,Data Modeling,3,27,Self-assessment
E0076,SQL,3,18,Manager validation
E0076,Change Management,2,37,Self-assessment
E0076,Excel,2,31,Manager validation
E0076,Business Acumen,3,40,Project evidence
E0076,Data Quality,2,34,Project evidence
E0076,NLP,5,45,Self-assessment
E0076,Stakeholder Management,4,11,Project evidence
E0076,Data Governance,2,37,Project evidence
E0076,Machine Learning,3,5,Project evidence
E0076,Generative AI,1,36,Manager validation
